Date;Opérateur;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;Secteur d'activité;Statut;Consommation Journalière (MWh PCS 0°C)
2023-05-22;NaTran;12222.0;11141.0;10929.0;10847.0;10617.0;10624.0;12850.0;13183.0;13143.0;13161.0;13100.0;12646.0;11478.0;11136.0;11017.0;10988.0;10982.0;12343.0;12944.0;13037.0;13228.0;13359.0;13348.0;13448.0;Industriel;Définitif;291768.0
2023-05-16;NaTran;12742.0;12201.0;12076.0;12125.0;11990.0;12714.0;13049.0;13710.0;13559.0;13013.0;12311.0;11899.0;11465.0;11505.0;11233.0;11119.0;11429.0;11829.0;12856.0;13627.0;13806.0;13799.0;13687.0;13540.0;Industriel;Définitif;301297.0
2023-05-12;NaTran;13686.0;11897.0;11149.0;10825.0;10311.0;10114.0;16030.0;16383.0;16172.0;15922.0;15048.0;14873.0;15241.0;15384.0;15692.0;16095.0;15524.0;15414.0;15642.0;15625.0;15459.0;15219.0;15399.0;15018.0;Industriel;Définitif;348134.0
2023-05-09;NaTran;13906.0;13449.0;13117.0;12662.0;12711.0;13252.0;15191.0;15497.0;15689.0;15555.0;15124.0;15248.0;15502.0;15856.0;15498.0;15504.0;15662.0;15801.0;15697.0;15737.0;15910.0;15841.0;15784.0;15479.0;Industriel;Définitif;359683.0
2023-05-07;NaTran;13629.0;11904.0;11760.0;11781.0;11680.0;11636.0;10137.0;10110.0;10034.0;9509.0;9385.0;9395.0;9401.0;9391.0;9344.0;9276.0;9686.0;10212.0;12257.0;14213.0;14757.0;14687.0;14842.0;14750.0;Industriel;Définitif;273787.0
2023-05-01;NaTran;11702.0;11738.0;11916.0;12069.0;12609.0;13521.0;12746.0;12657.0;11766.0;11509.0;10698.0;9930.0;9897.0;9829.0;9956.0;9878.0;9935.0;10340.0;12268.0;13487.0;14056.0;14732.0;14701.0;13965.0;Industriel;Définitif;285916.0
2023-04-24;NaTran;16586.0;17645.0;18174.0;18124.0;17629.0;16941.0;15110.0;13710.0;13307.0;13250.0;13443.0;14500.0;17667.0;18550.0;18534.0;18476.0;17965.0;17656.0;17660.0;17934.0;17939.0;18442.0;17662.0;17704.0;Industriel;Définitif;404606.0
2023-04-18;NaTran;18513.0;19805.0;19967.0;19728.0;17731.0;14904.0;14622.0;14480.0;14373.0;14155.0;13715.0;14187.0;17076.0;18843.0;19138.0;18948.0;18681.0;18509.0;16388.0;15074.0;14886.0;15042.0;15597.0;16904.0;Industriel;Définitif;401266.0
2023-04-06;NaTran;17462.0;17581.0;17382.0;17126.0;16670.0;14754.0;12635.0;10746.0;10526.0;10633.0;10567.0;12459.0;15253.0;14647.0;16033.0;16338.0;16440.0;16380.0;15721.0;12671.0;12595.0;12703.0;12664.0;13339.0;Industriel;Définitif;343323.0
2023-03-31;NaTran;13486.0;13316.0;13305.0;13506.0;13443.0;13265.0;13318.0;13125.0;12995.0;12781.0;12980.0;13196.0;13099.0;13093.0;13125.0;13077.0;13092.0;13093.0;12984.0;12829.0;12164.0;12224.0;12104.0;12068.0;Industriel;Définitif;311669.0
2023-03-25;NaTran;12263.0;12302.0;12202.0;12118.0;12038.0;12037.0;11826.0;11723.0;11572.0;11519.0;11545.0;11613.0;11972.0;12048.0;12098.0;12094.0;12195.0;12172.0;11811.0;11792.0;8.0;11722.0;11705.0;11752.0;Industriel;Définitif;274128.0
2023-03-23;NaTran;13091.0;13164.0;13306.0;12637.0;12535.0;12402.0;12234.0;12206.0;12142.0;12282.0;12891.0;14009.0;14717.0;14745.0;14223.0;13490.0;13089.0;12859.0;12524.0;12547.0;12130.0;11977.0;12307.0;12960.0;Industriel;Définitif;310467.0
2023-03-22;NaTran;15685.0;15603.0;15510.0;14655.0;14379.0;14054.0;14319.0;14246.0;14295.0;14641.0;15247.0;16175.0;16833.0;16500.0;15717.0;15652.0;15340.0;15098.0;14125.0;13297.0;13367.0;13248.0;13008.0;12947.0;Industriel;Définitif;353942.0
2023-03-09;NaTran;20225.0;21098.0;21933.0;21862.0;21252.0;20564.0;19867.0;19769.0;20161.0;21240.0;20107.0;20187.0;21088.0;21471.0;20198.0;19716.0;20664.0;20670.0;20141.0;19828.0;19875.0;19700.0;19135.0;19829.0;Industriel;Définitif;490578.0
2023-03-08;NaTran;20276.0;20399.0;20239.0;20354.0;20606.0;21012.0;20477.0;19975.0;19123.0;18758.0;20350.0;20755.0;21247.0;20729.0;19437.0;18223.0;18648.0;18686.0;18518.0;17486.0;17310.0;17313.0;17578.0;18024.0;Industriel;Définitif;465522.0
2023-03-05;NaTran;25257.0;25535.0;25602.0;25020.0;24726.0;24500.0;23123.0;22466.0;23108.0;23985.0;24424.0;25224.0;25811.0;26473.0;26608.0;25895.0;24543.0;23768.0;24800.0;25207.0;25537.0;25508.0;25951.0;25930.0;Industriel;Définitif;599003.0
2023-03-03;NaTran;28105.0;28779.0;28864.0;28578.0;28959.0;27454.0;26186.0;25881.0;26127.0;26599.0;26196.0;26353.0;26561.0;27419.0;27551.0;26789.0;26562.0;26351.0;25787.0;25756.0;26026.0;25376.0;25737.0;25931.0;Industriel;Définitif;643928.0
2023-02-20;NaTran;22677.0;24637.0;25590.0;24894.0;24338.0;24017.0;22145.0;21252.0;21387.0;19933.0;20252.0;23128.0;25189.0;26284.0;26212.0;25522.0;25567.0;25477.0;24662.0;24603.0;25114.0;26101.0;26061.0;25855.0;Industriel;Définitif;580895.0
2023-02-11;NaTran;24728.0;24877.0;24661.0;24289.0;23766.0;23215.0;22187.0;21564.0;21883.0;22681.0;22277.0;23154.0;24029.0;24147.0;24099.0;23765.0;23684.0;23979.0;24055.0;24094.0;23053.0;22640.0;22608.0;22644.0;Industriel;Définitif;562079.0
2023-02-07;NaTran;22919.0;23607.0;22895.0;22596.0;22135.0;21297.0;20445.0;20283.0;20534.0;21912.0;21768.0;21986.0;22481.0;22567.0;22495.0;23050.0;23175.0;23398.0;23491.0;23657.0;23523.0;23671.0;24205.0;24561.0;Industriel;Définitif;542652.0
2023-02-03;NaTran;18680.0;22804.0;24574.0;24386.0;24142.0;23596.0;22904.0;22905.0;23147.0;23322.0;22507.0;23656.0;24410.0;24588.0;24366.0;23904.0;23642.0;23346.0;22868.0;23043.0;23043.0;22262.0;21781.0;22933.0;Industriel;Définitif;556808.0
2023-01-29;NaTran;25005.0;24992.0;25912.0;26491.0;26107.0;25982.0;24954.0;23857.0;23627.0;25067.0;25405.0;26207.0;26900.0;26981.0;26898.0;26704.0;26626.0;26089.0;23181.0;20893.0;20888.0;20743.0;20833.0;20928.0;Industriel;Définitif;591270.0
